azure-large-instance azure-large-instance->update->0->responses->200->body->schema->props->id->format	root->command-group:azure-large-instance azure-large-instance->command:update->operation ind: 0->responses->200->body->schema->props->id->format	ChangeType.REMOVE	"{""template"": ""/subscriptions/{}/resourceGroups/{}/providers/Microsoft.AzureLargeInstance/azureLargeInstances/{}""}"
azure-large-instance azure-large-instance->update->0->responses->200->body->schema->props->location->type	root->command-group:azure-large-instance azure-large-instance->command:update->operation ind: 0->responses->200->body->schema->props->location->type	ChangeType.CHANGE	"""ResourceLocation"""	"""string"""
azure-large-instance azure-large-instance->update->0->responses->200->body->schema->props->properties->clientFlatten	root->command-group:azure-large-instance azure-large-instance->command:update->operation ind: 0->responses->200->body->schema->props->properties->clientFlatten	ChangeType.REMOVE	true
azure-large-instance azure-large-instance->update->1	root->command-group:azure-large-instance azure-large-instance->command:update->operation ind: 1	ChangeType.CHANGE	"{""instanceUpdate"": {""ref"": ""$Instance"", ""json"": {""schema"": {""type"": ""object"", ""name"": ""resource"", ""required"": true, ""props"": [{""type"": ""object"", ""name"": ""properties"", ""props"": [{""type"": ""string"", ""name"": ""azureLargeInstanceId"", ""arg"": ""$resource.properties.azureLargeInstanceId""}, {""type"": ""object"", ""name"": ""hardwareProfile"", ""arg"": ""$resource.properties.hardwareProfile"", ""props"": [{""type"": ""string"", ""name"": ""azureLargeInstanceSize"", ""arg"": ""$resource.properties.hardwareProfile.azureLargeInstanceSize"", ""enum"": {""items"": [{""value"": ""S112""}, {""value"": ""S144""}, {""value"": ""S144m""}, {""value"": ""S192""}, {""value"": ""S192m""}, {""value"": ""S192xm""}, {""value"": ""S224""}, {""value"": ""S224m""}, {""value"": ""S224om""}, {""value"": ""S224oo""}, {""value"": ""S224oom""}, {""value"": ""S224ooo""}, {""value"": ""S224se""}, {""value"": ""S384""}, {""value"": ""S384m""}, {""value"": ""S384xm""}, {""value"": ""S384xxm""}, {""value"": ""S448""}, {""value"": ""S448m""}, {""value"": ""S448om""}, {""value"": ""S448oo""}, {""value"": ""S448oom""}, {""value"": ""S448ooo""}, {""value"": ""S448se""}, {""value"": ""S576m""}, {""value"": ""S576xm""}, {""value"": ""S672""}, {""value"": ""S672m""}, {""value"": ""S672om""}, {""value"": ""S672oo""}, {""value"": ""S672oom""}, {""value"": ""S672ooo""}, {""value"": ""S72""}, {""value"": ""S72m""}, {""value"": ""S768""}, {""value"": ""S768m""}, {""value"": ""S768xm""}, {""value"": ""S896""}, {""value"": ""S896m""}, {""value"": ""S896om""}, {""value"": ""S896oo""}, {""value"": ""S896oom""}, {""value"": ""S896ooo""}, {""value"": ""S96""}, {""value"": ""S960m""}]}}, {""type"": ""string"", ""name"": ""hardwareType"", ""arg"": ""$resource.properties.hardwareProfile.hardwareType"", ""enum"": {""items"": [{""value"": ""Cisco_UCS""}, {""value"": ""HPE""}, {""value"": ""SDFLEX""}]}}]}, {""type"": ""string"", ""name"": ""hwRevision"", ""arg"": ""$resource.properties.hwRevision""}, {""type"": ""object"", ""name"": ""networkProfile"", ""arg"": ""$resource.properties.networkProfile"", ""props"": [{""type"": ""string"", ""name"": ""circuitId"", ""arg"": ""$resource.properties.networkProfile.circuitId""}, {""type"": ""array<object>"", ""name"": ""networkInterfaces"", ""arg"": ""$resource.properties.networkProfile.networkInterfaces"", ""item"": {""type"": ""object"", ""props"": [{""type"": ""string"", ""name"": ""ipAddress"", ""arg"": ""$resource.properties.networkProfile.networkInterfaces[].ipAddress""}]}}]}, {""type"": ""object"", ""name"": ""osProfile"", ""arg"": ""$resource.properties.osProfile"", ""props"": [{""type"": ""string"", ""name"": ""computerName"", ""arg"": ""$resource.properties.osProfile.computerName""}, {""type"": ""string"", ""name"": ""osType"", ""arg"": ""$resource.properties.osProfile.osType""}, {""type"": ""string"", ""name"": ""sshPublicKey"", ""arg"": ""$resource.properties.osProfile.sshPublicKey""}, {""type"": ""string"", ""name"": ""version"", ""arg"": ""$resource.properties.osProfile.version""}]}, {""type"": ""string"", ""name"": ""powerState"", ""arg"": ""$resource.properties.powerState"", ""enum"": {""items"": [{""value"": ""restarting""}, {""value"": ""started""}, {""value"": ""starting""}, {""value"": ""stopped""}, {""value"": ""stopping""}, {""value"": ""unknown""}]}}, {""type"": ""string"", ""name"": ""proximityPlacementGroup"", ""arg"": ""$resource.properties.proximityPlacementGroup""}, {""type"": ""object"", ""name"": ""storageProfile"", ""arg"": ""$resource.properties.storageProfile"", ""props"": [{""type"": ""string"", ""name"": ""nfsIpAddress"", ""arg"": ""$resource.properties.storageProfile.nfsIpAddress""}, {""type"": ""array<object>"", ""name"": ""osDisks"", ""arg"": ""$resource.properties.storageProfile.osDisks"", ""item"": {""type"": ""object"", ""props"": [{""type"": ""integer32"", ""name"": ""diskSizeGB"", ""arg"": ""$resource.properties.storageProfile.osDisks[].diskSizeGB""}, {""type"": ""string"", ""name"": ""name"", ""arg"": ""$resource.properties.storageProfile.osDisks[].name""}]}}]}], ""clientFlatten"": true}, {""type"": ""object"", ""name"": ""tags"", ""arg"": ""$resource.tags"", ""additionalProps"": {""item"": {""type"": ""string""}}}], ""clientFlatten"": true}}}}"	"{""instanceUpdate"": {""ref"": ""$Instance"", ""json"": {""schema"": {""type"": ""object"", ""name"": ""resource"", ""required"": true, ""props"": [{""type"": ""object"", ""name"": ""properties"", ""props"": [{""type"": ""string"", ""name"": ""azureLargeInstanceId"", ""arg"": ""$resource.properties.azureLargeInstanceId""}, {""type"": ""object"", ""name"": ""hardwareProfile"", ""arg"": ""$resource.properties.hardwareProfile"", ""props"": [{""type"": ""string"", ""name"": ""azureLargeInstanceSize"", ""arg"": ""$resource.properties.hardwareProfile.azureLargeInstanceSize"", ""enum"": {""items"": [{""value"": ""S112""}, {""value"": ""S144""}, {""value"": ""S144m""}, {""value"": ""S192""}, {""value"": ""S192m""}, {""value"": ""S192xm""}, {""value"": ""S224""}, {""value"": ""S224m""}, {""value"": ""S224om""}, {""value"": ""S224oo""}, {""value"": ""S224oom""}, {""value"": ""S224ooo""}, {""value"": ""S224se""}, {""value"": ""S384""}, {""value"": ""S384m""}, {""value"": ""S384xm""}, {""value"": ""S384xxm""}, {""value"": ""S448""}, {""value"": ""S448m""}, {""value"": ""S448om""}, {""value"": ""S448oo""}, {""value"": ""S448oom""}, {""value"": ""S448ooo""}, {""value"": ""S448se""}, {""value"": ""S576m""}, {""value"": ""S576xm""}, {""value"": ""S672""}, {""value"": ""S672m""}, {""value"": ""S672om""}, {""value"": ""S672oo""}, {""value"": ""S672oom""}, {""value"": ""S672ooo""}, {""value"": ""S72""}, {""value"": ""S72m""}, {""value"": ""S768""}, {""value"": ""S768m""}, {""value"": ""S768xm""}, {""value"": ""S896""}, {""value"": ""S896m""}, {""value"": ""S896om""}, {""value"": ""S896oo""}, {""value"": ""S896oom""}, {""value"": ""S896ooo""}, {""value"": ""S96""}, {""value"": ""S960m""}]}}, {""type"": ""string"", ""name"": ""hardwareType"", ""arg"": ""$resource.properties.hardwareProfile.hardwareType"", ""enum"": {""items"": [{""value"": ""Cisco_UCS""}, {""value"": ""HPE""}, {""value"": ""SDFLEX""}]}}]}, {""type"": ""string"", ""name"": ""hwRevision"", ""arg"": ""$resource.properties.hwRevision""}, {""type"": ""object"", ""name"": ""networkProfile"", ""arg"": ""$resource.properties.networkProfile"", ""props"": [{""type"": ""string"", ""name"": ""circuitId"", ""arg"": ""$resource.properties.networkProfile.circuitId""}, {""type"": ""array<object>"", ""name"": ""networkInterfaces"", ""arg"": ""$resource.properties.networkProfile.networkInterfaces"", ""item"": {""type"": ""object"", ""props"": [{""type"": ""string"", ""name"": ""ipAddress"", ""arg"": ""$resource.properties.networkProfile.networkInterfaces[].ipAddress""}]}}]}, {""type"": ""object"", ""name"": ""osProfile"", ""arg"": ""$resource.properties.osProfile"", ""props"": [{""type"": ""string"", ""name"": ""computerName"", ""arg"": ""$resource.properties.osProfile.computerName""}, {""type"": ""string"", ""name"": ""osType"", ""arg"": ""$resource.properties.osProfile.osType""}, {""type"": ""string"", ""name"": ""sshPublicKey"", ""arg"": ""$resource.properties.osProfile.sshPublicKey""}, {""type"": ""string"", ""name"": ""version"", ""arg"": ""$resource.properties.osProfile.version""}]}, {""type"": ""string"", ""name"": ""powerState"", ""arg"": ""$resource.properties.powerState"", ""enum"": {""items"": [{""value"": ""restarting""}, {""value"": ""started""}, {""value"": ""starting""}, {""value"": ""stopped""}, {""value"": ""stopping""}, {""value"": ""unknown""}]}}, {""type"": ""string"", ""name"": ""proximityPlacementGroup"", ""arg"": ""$resource.properties.proximityPlacementGroup""}, {""type"": ""object"", ""name"": ""storageProfile"", ""arg"": ""$resource.properties.storageProfile"", ""props"": [{""type"": ""string"", ""name"": ""nfsIpAddress"", ""arg"": ""$resource.properties.storageProfile.nfsIpAddress""}, {""type"": ""array<object>"", ""name"": ""osDisks"", ""arg"": ""$resource.properties.storageProfile.osDisks"", ""item"": {""type"": ""object"", ""props"": [{""type"": ""integer32"", ""name"": ""diskSizeGB"", ""arg"": ""$resource.properties.storageProfile.osDisks[].diskSizeGB""}, {""type"": ""string"", ""name"": ""name"", ""arg"": ""$resource.properties.storageProfile.osDisks[].name""}]}}]}]}, {""type"": ""object"", ""name"": ""tags"", ""arg"": ""$resource.tags"", ""additionalProps"": {""item"": {""type"": ""string""}}}], ""clientFlatten"": true}}}}"
azure-large-instance azure-large-instance->update->2->request->path->params->resourceGroupName->format	root->command-group:azure-large-instance azure-large-instance->command:update->operation ind: 2->request->path->params->arg: resourceGroupName->prop: format	ChangeType.CHANGE	"{""maxLength"": 90, ""minLength"": 1}"	"{""pattern"": ""^[-\\w\\._\\(\\)]+$"", ""maxLength"": 90, ""minLength"": 1}"
azure-large-instance azure-large-instance->update->2->responses->error	root->command-group:azure-large-instance azure-large-instance->command:update->operation ind: 2->responses->error	ChangeType.CHANGE	"{""isError"": true, ""body"": {""json"": {""schema"": {""type"": ""@MgmtErrorFormat""}}}}"	"{""isError"": true, ""body"": {""json"": {""schema"": {""readOnly"": true, ""type"": ""@MgmtErrorFormat""}}}}"
azure-large-instance azure-large-instance->update->2->responses->200.201->body->schema->props->id->format	root->command-group:azure-large-instance azure-large-instance->command:update->operation ind: 2->responses->200.201->body->schema->props->id->format	ChangeType.REMOVE	"{""template"": ""/subscriptions/{}/resourceGroups/{}/providers/Microsoft.AzureLargeInstance/azureLargeInstances/{}""}"
azure-large-instance azure-large-instance->update->2->responses->200.201->body->schema->props->location->type	root->command-group:azure-large-instance azure-large-instance->command:update->operation ind: 2->responses->200.201->body->schema->props->location->type	ChangeType.CHANGE	"""ResourceLocation"""	"""string"""
azure-large-instance azure-large-instance->update->2->responses->200.201->body->schema->props->properties->clientFlatten	root->command-group:azure-large-instance azure-large-instance->command:update->operation ind: 2->responses->200.201->body->schema->props->properties->clientFlatten	ChangeType.REMOVE	true
azure-large-instance azure-large-instance->create->Resource->$resource.location->type	root->command-group:azure-large-instance azure-large-instance->command:create->argGroup: Resource->arg: $resource.location->prop: type	ChangeType.CHANGE	"""ResourceLocation"""	"""string"""
